m,TagName,
"2010-12-01 00:00:00","java","5670"
"2010-12-01 00:00:00","javascript","4954"
"2010-12-01 00:00:00","perl","500"
"2010-12-01 00:00:00","php","5382"
"2010-12-01 00:00:00","python","2481"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1021"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","134"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7978"
"2011-01-01 00:00:00","c++","3485"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6533"
"2011-01-01 00:00:00","javascript","5414"
"2011-01-01 00:00:00","perl","477"
"2011-01-01 00:00:00","php","6412"
"2011-01-01 00:00:00","python","2898"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1202"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","146"
"2011-02-01 00:00:00","c","1634"
"2011-02-01 00:00:00","c#","8212"
"2011-02-01 00:00:00","c++","3439"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6865"
"2011-02-01 00:00:00","javascript","5582"
"2011-02-01 00:00:00","perl","482"
"2011-02-01 00:00:00","php","6702"
"2011-02-01 00:00:00","python","3011"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1250"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","c","2109"
"2011-03-01 00:00:00","c#","9985"
"2011-03-01 00:00:00","c++","4177"
"2011-03-01 00:00:00","delphi","518"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8470"
"2011-03-01 00:00:00","javascript","6765"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8091"
"2011-03-01 00:00:00","python","3747"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1639"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2035"
"2011-04-01 00:00:00","c#","9279"
"2011-04-01 00:00:00","c++","4163"
"2011-04-01 00:00:00","delphi","401"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7895"
"2011-04-01 00:00:00","javascript","6878"
"2011-04-01 00:00:00","perl","551"
"2011-04-01 00:00:00","php","7644"
"2011-04-01 00:00:00","python","3339"
"2011-04-01 00:00:00","r","476"
"2011-04-01 00:00:00","ruby","1476"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1822"
"2011-05-01 00:00:00","c#","10008"
"2011-05-01 00:00:00","c++","3882"
"2011-05-01 00:00:00","delphi","473"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8563"
"2011-05-01 00:00:00","javascript","7311"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8096"
"2011-05-01 00:00:00","python","3515"
"2011-05-01 00:00:00","r","426"
"2011-05-01 00:00:00","ruby","1565"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1763"
"2011-06-01 00:00:00","c#","9756"
"2011-06-01 00:00:00","c++","3808"
"2011-06-01 00:00:00","delphi","455"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7905"
"2011-06-01 00:00:00","javascript","7682"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","8036"
"2011-06-01 00:00:00","python","3467"
"2011-06-01 00:00:00","r","444"
"2011-06-01 00:00:00","ruby","1558"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c","1657"
"2011-07-01 00:00:00","c#","9608"
"2011-07-01 00:00:00","c++","3849"
"2011-07-01 00:00:00","delphi","429"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8156"
"2011-07-01 00:00:00","javascript","8110"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8678"
"2011-07-01 00:00:00","python","3660"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1584"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1824"
"2011-08-01 00:00:00","c#","10069"
"2011-08-01 00:00:00","c++","3952"
"2011-08-01 00:00:00","delphi","423"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8685"
"2011-08-01 00:00:00","javascript","8906"
"2011-08-01 00:00:00","perl","613"
"2011-08-01 00:00:00","php","8924"
"2011-08-01 00:00:00","python","3825"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1859"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","155"
"2011-09-01 00:00:00","c","1915"
"2011-09-01 00:00:00","c#","9306"
"2011-09-01 00:00:00","c++","3943"
"2011-09-01 00:00:00","delphi","414"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8323"
"2011-09-01 00:00:00","javascript","8190"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","8068"
"2011-09-01 00:00:00","python","3516"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1546"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","212"
"2011-10-01 00:00:00","c","2138"
"2011-10-01 00:00:00","c#","9224"
"2011-10-01 00:00:00","c++","4350"
"2011-10-01 00:00:00","delphi","465"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","java","8562"
"2011-10-01 00:00:00","javascript","8033"
"2011-10-01 00:00:00","perl","554"
"2011-10-01 00:00:00","php","8069"
"2011-10-01 00:00:00","python","3622"
"2011-10-01 00:00:00","r","620"
"2011-10-01 00:00:00","ruby","1613"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2197"
"2011-11-01 00:00:00","c#","9910"
"2011-11-01 00:00:00","c++","4479"
"2011-11-01 00:00:00","delphi","507"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9643"
"2011-11-01 00:00:00","javascript","8691"
"2011-11-01 00:00:00","perl","606"
"2011-11-01 00:00:00","php","8686"
"2011-11-01 00:00:00","python","3878"
"2011-11-01 00:00:00","r","606"
"2011-11-01 00:00:00","ruby","1739"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c","2004"
"2011-12-01 00:00:00","c#","9320"
"2011-12-01 00:00:00","c++","4360"
"2011-12-01 00:00:00","delphi","573"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9208"
"2011-12-01 00:00:00","javascript","8338"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","php","8343"
"2011-12-01 00:00:00","python","3623"
"2011-12-01 00:00:00","r","614"
"2011-12-01 00:00:00","ruby","1684"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2233"
"2012-01-01 00:00:00","c#","10453"
"2012-01-01 00:00:00","c++","4548"
"2012-01-01 00:00:00","delphi","514"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10146"
"2012-01-01 00:00:00","javascript","9609"
"2012-01-01 00:00:00","perl","563"
"2012-01-01 00:00:00","php","9315"
"2012-01-01 00:00:00","python","4210"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1906"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","232"
"2012-02-01 00:00:00","c","2407"
"2012-02-01 00:00:00","c#","10763"
"2012-02-01 00:00:00","c++","5105"
"2012-02-01 00:00:00","delphi","472"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10951"
"2012-02-01 00:00:00","javascript","9993"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","php","9928"
"2012-02-01 00:00:00","python","4493"
"2012-02-01 00:00:00","r","813"
"2012-02-01 00:00:00","ruby","2045"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","262"
"2012-03-01 00:00:00","c","2726"
"2012-03-01 00:00:00","c#","11599"
"2012-03-01 00:00:00","c++","5234"
"2012-03-01 00:00:00","delphi","497"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12396"
"2012-03-01 00:00:00","javascript","10716"
"2012-03-01 00:00:00","perl","608"
"2012-03-01 00:00:00","php","10892"
"2012-03-01 00:00:00","python","5032"
"2012-03-01 00:00:00","r","888"
"2012-03-01 00:00:00","ruby","2192"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","277"
"2012-04-01 00:00:00","c","2667"
"2012-04-01 00:00:00","c#","11128"
"2012-04-01 00:00:00","c++","5303"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","12026"
"2012-04-01 00:00:00","javascript","10669"
"2012-04-01 00:00:00","perl","598"
"2012-04-01 00:00:00","php","10406"
"2012-04-01 00:00:00","python","4919"
"2012-04-01 00:00:00","r","840"
"2012-04-01 00:00:00","ruby","1969"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","227"
"2012-05-01 00:00:00","c","2482"
"2012-05-01 00:00:00","c#","11575"
"2012-05-01 00:00:00","c++","4991"
"2012-05-01 00:00:00","delphi","480"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12178"
"2012-05-01 00:00:00","javascript","11519"
"2012-05-01 00:00:00","perl","643"
"2012-05-01 00:00:00","php","10930"
"2012-05-01 00:00:00","python","5096"
"2012-05-01 00:00:00","r","874"
"2012-05-01 00:00:00","ruby","1977"
"2012-05-01 00:00:00","swift","6"
"2012-06-01 00:00:00","assembly","201"
"2012-06-01 00:00:00","c","2310"
"2012-06-01 00:00:00","c#","11321"
"2012-06-01 00:00:00","c++","4651"
"2012-06-01 00:00:00","delphi","418"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","java","11099"
"2012-06-01 00:00:00","javascript","11229"
"2012-06-01 00:00:00","perl","740"
"2012-06-01 00:00:00","php","10570"
"2012-06-01 00:00:00","python","5276"
"2012-06-01 00:00:00","r","974"
"2012-06-01 00:00:00","ruby","1889"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c","2371"
"2012-07-01 00:00:00","c#","12314"
"2012-07-01 00:00:00","c++","5276"
"2012-07-01 00:00:00","delphi","440"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12243"
"2012-07-01 00:00:00","javascript","12310"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11731"
"2012-07-01 00:00:00","python","5724"
"2012-07-01 00:00:00","r","1119"
"2012-07-01 00:00:00","ruby","2060"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2317"
"2012-08-01 00:00:00","c#","11939"
"2012-08-01 00:00:00","c++","5158"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12246"
"2012-08-01 00:00:00","javascript","12430"
"2012-08-01 00:00:00","perl","762"
"2012-08-01 00:00:00","php","11880"
"2012-08-01 00:00:00","python","5859"
"2012-08-01 00:00:00","r","1089"
"2012-08-01 00:00:00","ruby","2060"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","224"
"2012-09-01 00:00:00","c","2528"
"2012-09-01 00:00:00","c#","11267"
"2012-09-01 00:00:00","c++","4907"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","130"
"2012-09-01 00:00:00","java","11610"
"2012-09-01 00:00:00","javascript","11168"
"2012-09-01 00:00:00","perl","662"
"2012-09-01 00:00:00","php","10977"
"2012-09-01 00:00:00","python","5248"
"2012-09-01 00:00:00","r","1058"
"2012-09-01 00:00:00","ruby","1956"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3151"
"2012-10-01 00:00:00","c#","12715"
"2012-10-01 00:00:00","c++","5908"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13483"
"2012-10-01 00:00:00","javascript","12417"
"2012-10-01 00:00:00","perl","683"
"2012-10-01 00:00:00","php","11766"
"2012-10-01 00:00:00","python","6126"
